firstName,lastName,reason,reasonDetail,sessionDate,transferredVoteTo
Эркин Абдышевич,Сакебаев,,,,&nbsp;
Нурбек Каарыевич,Алимбеков,,,,А.Эшимову
Эристина Азрет-Алиевна,Кочкарова,В командировке,г.Алматы,27.11.2014г.,Ф.Кулову
Дамира Абаскановна,Ниязалиева,В командировке,Нарынская обл.,19.11.2014г.,-
Асылбек Шарипович,Жээнбеков,В командировке,Япония,19-20.11.2014г.,-
Чолпон Аалыевна,Султанбекова,,,,-
Мыктыбек Юсупович,Абдылдаев,,,,-
Замир Исакович,Бекбоев,,,,-
Сайдулла Канболотович,Нышанов,,,,Б.Калмаматову
Алтынбек Турдубаевич,Сулайманов,,,,-
Турсунтай Аблизович,Салимов,,,,Э.Сакебаеву
Карганбек Садыкович,Самаков,,,,-
Курманбек Сапарович,Дыйканбаев,В командировке,Малайзия,19-20.11.2014г.,-
Эркингуль Бекбачаевна,Иманкожоева,В командировке,Италия,19-20.11.2014г.,-
Акылбек Шакирович,Султанов,В командировке,Ошская обл.,19-20.11.2014г.,-
Мирлан Исакбекович,Бакиров,В командировке,На Малом и Большом,19-20.11.2014г.,-
Анвар,Артыков,По состоянию здоровья,,19-20.11.2014г.,Н.Мадалиеву
Урмат Абдилашимовна,Аманбаева,,,,-
Алла Николаевна,Измалкова,,,,Ч.Турсунбекову
Максат Эсенович,Сабиров,На похоронах,,19-20.11.2014г.,-
Нариман Ташболотович,Тюлеев,По уважительной причине,,19-20.11.2014г.,-
Ахматбек Келдибекович,Келдибеков,,,,-
Жылдызкан Айтибаевна,Джолдошова,В командировке,США,12.11.2014г.,-
,Бакир уулу Турсунбай,В командировке,г.Минск,12-13.11.2014г.,-
Кожобек Джайчыбекович,Рыспаев,В командировке,КНР,12-13.11.2014г.,Т.Узакбаеву
Абдыманап Орозбаевич,Кутушев,,,,М.Мадеминову
Наталья Владимировна,Никитенко,,,,-
Бөдөш Аманбаевна,Мамырова,В командировке,Ошская обл.,12-13.11.2014г.,-
Карганбек Садыкович,Самаков,В командировке,Ошская обл.,12-13.11.2014г.,-
Надира Азимовна,Нарматова,В командировке,г.Алматы,12-13.11.2014г.,-
Данияр Омурзакович,Тербишалиев,,,,-
Уланбек Калдарович,Нуркулов,На похоронах,,12-13.11.2014г.,-
Урмат Абдилашимовна,Аманбаева,По состоянию здоровья,,12-13.11.2014г.,-
Нурлан Надирович,Торобеков,,,,-
Нариман Ташболотович,Тюлеев,По уважительной причине,,12-13.11.2014г.,-
Ахматбек Келдибекович,Келдибеков,,,,-
Дамира Абаскановна,Ниязалиева,В командировке,г.Алматы,13.11.2014г.,-
Ирина Юрьевна,Карамушкина,,,,-
Асылбек Шарипович,Жээнбеков,В командировке,г.Москва,05-06.11.2014г.,-
Алмазбек Баатырбекович,Баатырбеков,,,,-
Туратбек,Мадылбеков,,,,-
Дамира Абаскановна,Ниязалиева,,,,-
Жылдызкан Айтибаевна,Джолдошова,В командировке,США,05-06.11.2014г.,-
Нурбек Мурпазылжанович,Мурашев,В командировке,Жалал-Абадская   обл.,05-06.11.2014г.,-
Каныбек,Осмоналиев,По состоянию здоровья,,05-06.11.2014г.,А.Артыкову
Урмат Абдилашимовна,Аманбаева,,,,-
Нурлан Надирович,Торобеков,,,,-
Нариман Ташболотович,Тюлеев,По уважительной причине,,05-06.11.2014г.,-
Ахматбек Келдибекович,Келдибеков,,,,-
Сайдулла Канболотович,Нышанов,В командировке,КНР,06.11.2014г.,-
Ирина Юрьевна,Карамушкина,В командировке,г. Минск,22-23.10.2014г.,-
Курманбек Сапарович,Дыйканбаев,В командировке,г. С-Петербург,22-23.10.2014г.,-
Каныбек,Осмоналиев,,,,Ф.Кулову
Сайдулла Канболотович,Нышанов,,,,-
Дастан Далабайевич,Бекешев,,,,-
Данияр Омурзакович,Тербишалиев,,,,-
Надира Азимовна,Нарматова,По состоянию здоровья,,22-23.10.2014г.,-
Нариман Ташболотович,Тюлеев,По уважительной причине,,22-23.10.2014г.,-
Ахматбек Келдибекович,Келдибеков,,,,-
Карамат Бабашевна,Орозова,В командировке,г. Ош,23.10.2014г.,Э.Сакебаеву
Торобай Закирович,Зулпукаров,,,,-
Наталья Владимировна,Никитенко,,,,-
Нуркамил Апишевич,Мадалиев,,,,Э.Кочкаровой
Урмат Абдилашимовна,Аманбаева,,,,М.Сабирову
,Бакир уулу Турсунбай,,,,Э.Кочкаровой
Ыргал Кармышаковна,Кадыралиева,В командировке,г. Өзгөн,23.10.2014г.,Т.Салимову
Алишер Орозбаевич,Абдрахманов,В командировке,КНР,15.10.2014г.,-
Роза Корчубековна,Акназарова,,,,К.Бокоеву
Урмат Абдилашимовна,Аманбаева,,,,-
Заирбек Сулайманович,Жоошбеков,,,,-
Динара Шертаевна,Исаева,,,,-
Ажибай Айтиевич,Калмаматов,,,,-
Уланбек Калдарович,Нуркулов,,,,О.Текебаеву
Карамат Бабашевна,Орозова,,,,-
Акылбек Шакирович,Султанов,,,,-
Райкан,Тологонов,,,,-
Эристина Азрет-Алиевна,Кочкарова,,,,-
Майрамбек Алишерович,Расулов,,,,-
Бактыгул Арстанович,Маматов,В командировке,КНР,15-16.10.2014г.,Н.Мадалиеву
Омурбек Мирзараимович,Бакиров,В командировке,Турция,15-16.10.2014г.,-
Назарали Турдалиевич,Арипов,В командировке,г.С-Петербург,15-16.10.2014г.,-
Улукбек Тойчубаевич,Кочкоров,,,,-
Ирина Юрьевна,Карамушкина,В командировке,г.Минск,15-16.10.2014г.,-
Нурлан Надирович,Торобеков,По состоянию здоровья,,15-16.10.2014г.,-
Нариман Ташболотович,Тюлеев,По уважительной причине,,15-16.10.2014г.,-
Ахматбек Келдибекович,Келдибеков,,,,-
,Шер Болот,По уважительной причине,,16.10.2014г.,Т.Мадылбекову
Эсенгул Байдалиевич,Исаков,На республиканском форуме,г.Ош,08.10.2014г.,Б.Маматову
