firstName,lastName,reason,reasonDetail,sessionDate,transferredVoteTo,source
"Данияр Омурзакович","Тербишалиев","На похоронах",,"30.04.2015г.","-","http://kenesh.kg/RU/Articles/29688-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2930aprelya_2015_goda_.aspx"
"Мурадыл Ганыевич","Мадеминов","По уважительной причине",,"30.04.2015г.","Ж.Исаеву","http://kenesh.kg/RU/Articles/29688-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2930aprelya_2015_goda_.aspx"
"Мурадыл Ганыевич","Суракматов","По уважительной причине",,"30.04.2015г.","А.Арапбаеву","http://kenesh.kg/RU/Articles/29688-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2930aprelya_2015_goda_.aspx"
"Ирина Юрьевна","Карамушкина","В командировке","Иссык-Кульская обл.","22.04.2015г.","-","http://kenesh.kg/RU/Articles/29586-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2223aprelya_2015_goda_.aspx"
"Курманбек Сапарович","Дыйканбаев","В командировке","Германия","22-23.04.2015г.","-","http://kenesh.kg/RU/Articles/29586-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2223aprelya_2015_goda_.aspx"
"Галина Анатольевна","Скрипкина","В командировке","Германия","22-23.04.2015г.","-","http://kenesh.kg/RU/Articles/29586-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2223aprelya_2015_goda_.aspx"
"Майрамкан Мамытовна","Кадырбекова","В командировке","Германия","22-23.04.2015г.","Ж.Жолдошовой","http://kenesh.kg/RU/Articles/29586-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2223aprelya_2015_goda_.aspx"
"Эльмира Бусурманкуловна","Джумалиева","В командировке","Германия","22-23.04.2015г.","-","http://kenesh.kg/RU/Articles/29586-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2223aprelya_2015_goda_.aspx"
"Равшан Бабырбекович","Жээнбеков","В командировке","Германия","22-23.04.2015г.","-","http://kenesh.kg/RU/Articles/29586-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2223aprelya_2015_goda_.aspx"
"Өмүрбек Мирзараимович","Бакиров","В командировке","Германия","22-23.04.2015г.","-","http://kenesh.kg/RU/Articles/29586-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2223aprelya_2015_goda_.aspx"
"Бактыгул Арстанович","Маматов","В командировке","Германия","22-23.04.2015г.","Ф.Кулову","http://kenesh.kg/RU/Articles/29586-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2223aprelya_2015_goda_.aspx"
"Динара Шертаевна","Исаева","В командировке","Германия","22-23.04.2015г.","-","http://kenesh.kg/RU/Articles/29586-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2223aprelya_2015_goda_.aspx"
